slug,title,date,Cost code, Invoiced Amount ,Invoice ,Year,link,blurb,
trentham,The Girl with Two Names,2018,HH, £ 600.00 ,inv2018_76,2018,https://www.amazon.co.uk/Girl-Two-Names-T-Cooks/dp/1548715239/ref=sr_1_85?qid=1579807037&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-85&text=T.M.+Cooks,"There is trouble in Stoke-on-Trent… They’re just normal teenagers , living a normal life , until the unthinkable happens in their small town. People are going missing , which is causing chaos throughout the country. No one knows who , what or how these disappearances are happening. The mystery reeks with possibilities and high levels of danger. With the Government left in panic , it is up to the four teens to stop the disappearances and save the city. Can they stop it in time? Four friends One black book And a girl with two names…",
trentham2018,Pentagon Reversed, 9-March-2018,HH, £ 600.00 ,4,2018,https://www.amazon.co.uk/Pentagon-Reversed-T-M-Cooks/dp/1986470709/ref=sr_1_61?qid=1579808015&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-61&text=T.M.+Cooks,One love triangle. One key. Two universes. Five gems. Five friends. And a box that puts them all in grave peril. But can they stop the world from being destroyed before they destroy themselves?,
UCAN,Eternal Damnation, 13-July-2018,HH, £ 600.00 ,inv2018_82,2018,https://www.amazon.co.uk/Compass-Two-Halves-T-M-Cooks/dp/1725127229/ref=sr_1_39?qid=1579808494&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-39&text=T.M.+Cooks,3 Worlds . . . 7 Friends . . . 1 Dream,
WaPr2018,Duplicated, 12-January-2018,Yvonne, £ 600.00 ,5,2018,https://www.amazon.co.uk/Duplicated-T-M-Cooks/dp/1983895490/ref=sr_1_66?qid=1579807589&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-66&text=T.M.+Cooks,The year is 2068. Humanity has fallen. A tyrannical dictator has resorted to duplicating the citizens of Stoke-on-Trent. The fate of the city rests upon five teenagers and their clones. Only one thing lies between them and their freedom - the wall.,
Watermill2018,The Secret Room, 22nd June-2018,Yvonne, £ 600.00 ,inv2018_83,2018,https://www.amazon.co.uk/Secret-Room-T-M-Cooks/dp/1722400773/ref=sr_1_42?qid=1579808494&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-42&text=T.M.+Cooks,"Lilly and Jack were walking to Watermill school one sunny day. But it wasn’t a normal day at Watermill school… One classroom wasn't all that it seemed. Something terrible happened to Lilly and Jack. But what was it? Special Agent Jacko, KC and Maisy May went on amazing adventures that lead them to magical places. They wanted to save Lilly and Jack from the evil Adolph and Osama. Join us in our big adventures and see what happened to Lilly and Jack",
watford2018,Feud of Fire, 2nd February-2018,SHINE,,,2018,https://www.amazon.co.uk/Feud-Fire-T-M-Cooks/dp/1985053764/ref=sr_1_65?qid=1579807589&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-65&text=T.M.+Cooks,"The year is 2025, the world is in turmoil, Europe has centralized under one great Alliance, the USA has collapsed due to a mixture of its own inflated currency and inability to keep revolutionary forces under control, while the Middle East has formed into one Caliphate and fights for domination of trade. The two great powers have now clashed for complete control of the great well of resources that the now weak USA has to offer.",
Westwood2018,Consequences, 16-November-2018,HH, £ 600.00 ,4,2018,https://www.amazon.co.uk/Consequences-T-M-Cooks/dp/1729769527/ref=sr_1_36?qid=1579808494&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-36&text=T.M.+Cooks,"No two people are the same. Everyone has their own, personal demons, whether they choose to conceal them or embrace them.",
alexpark2017,The Dark Truth,,SHINE,,,2017,https://www.amazon.co.uk/gp/product/1544618344/ref=dbs_a_def_rwt_hsch_vapi_tu00_p1_i2,"Jaspar Chapman has been to hell and back in these last couple of months. When he found out his sister, Georgie, was murdered in a hit and run manslaughter, he is determined to find out who killed his sister. Milly Edison has been trying to help her father, Joshua, who got lung cancer from his work. But, Milly can’t cope; she faced a similar difficulty when her mother died. So she then makes the biggest mistake of her life and it is all uncovered by a witness, but no-one knows if this mysterious man is telling the truth. Joshua takes his boss to court, but will it all go to plan for him and Milly? Will Joshua die? And will Jaspar take revenge for his sister?",
gn2017,Galley Lane,,SHINE,,,2017,https://www.amazon.co.uk/Galley-Lane-T-M-Cooks/dp/1548713147/ref=sr_1_86?qid=1579807037&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-86&text=T.M.+Cooks,"A road trip with your teenage friends sounds like a childhood dream. However, when Bittu Singh’s foster dad takes a wrong turn, things go in a deadly direction. Traps, mysterious disappearances and sinister warnings: the very survival of these teenage friends depends on their ability to think fast and navigate through the chaos. Join Bittu and his group of friends as they cheat fate and gamble with their survival against an evil power. Learn about the darker side of the world we live in and how bravery is the only way to conquer it. Moreover, not everyone is who they seem to be...",Y
hw2017a,STRANDED!,,internal,,,2017,https://www.amazon.co.uk/Stranded-T-M-Cooks/dp/1979437238/ref=sr_1_79?qid=1579807589&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-79&text=T.M.+Cooks,"It’s winter, 1940. The Clarkes are an average family, going to their father's war posting in Italy. However, when their pilot deliberately crashes their private plane, things take a turn for the worse. Troy, the dad, becomes stranded on an island with his son, Michael. Sophie, the mum, also becomes stranded on a separate island with her two daughters, Mae and Lilly. Both groups, completely stranded. Will the Clarkes get their revenge? Will they ever escape? How will the family deal with being separated? But the biggest question of all, will they make it home...alive?",
hw2017b,The Disaster at Ryde Orphanage,,internal,,,2017,https://www.amazon.co.uk/Disaster-at-Ryde-Orphanage/dp/1979343357/ref=sr_1_80?qid=1579807589&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-80&text=T.M.+Cooks,"In the orphanage, no one is safe... James Prince, the fourteen-year-old living in an orphanage for boys is the hero of the story while Maggie is the owner of the orphanage and the mastermind of a truly evil plot. Only James, with the help of his best friend, Teddy, and detective Mark Wright can save the lives of many adults. Their fate lies in his hands. Can James and Mark save the day after the disaster at Ryde Orphanage for Boys, or will they be caught in the act?",
johnroan2017,Treating the Untreatable,,SHINE,,,2017,https://www.amazon.co.uk/gp/product/1545079668/ref=dbs_a_def_rwt_hsch_vapi_tu00_p1_i1,"She somehow made it to the bus stop. The world seemed to be spinning around her and everything suddenly went dark. When she woke up she was on the floor. She had only blacked out for a few seconds, but there was a crowd of people around her. ""What can I do to help “They were all saying, but Zoë just shook her head and said thank you. She didn’t need anyone else’s help as long as she could get to the bus stop. When the bus came, her head was still spinning. She couldn’t have M.S. It must have been a mix up.",
keele1,Amora,2017,Be More Creative," £ 1,000.00 ",? (paid),2017,https://www.amazon.co.uk/Amora-T-M-Cooks/dp/1547121033/ref=sr_1_90?qid=1579807037&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-90&text=T.M.+Cooks,"In a dismal flat in suburban London, shy, outcast, countryside-born Jac struggles with his new-found independence. No job, few friends and living on benefits, Jac refuses to give up his city dream. A series of events leads Jac down a road of misery and into the world of Amora. Jac drifts between this magical world and his own, struggling to distinguish which is real. As Jac searches to keep his independence in one world, a battle looms in the other.",Yes
keele2,Murdered in 1851,2017,KeelePreSupplyArrement,,,2017,https://www.amazon.co.uk/Murdered-1851-T-M-Cooks/dp/1548163945/ref=sr_1_89?qid=1579807037&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-89&text=T.M.+Cooks,"Tick tock… Tick tock… Tick tock… Gore and mystery hides in every nook, every cranny of this novel. Readers, prepare to find yourself transfixed in a warp of time and terror. Unveil the mystery murderer and experience the mind-bending loops and twists this novel will tell! Read, as a group of teenage boys and girls take you on a journey back in time to find their people and mind-boggling mysteries yet to be solved through the Victorian era. Compose your minds as the intricate characters will take you through a terrifying, emotional, empathetic journey as they are put on the spot with hidden clues and abrupt problems… Are you ready? Are you?",y
keele3,A Golden Lie,2017,KeelePreSupplyArrement,,,2017,https://www.amazon.co.uk/Golden-Lie-T-M-Cooks/dp/1548715395/ref=sr_1_88?qid=1579807037&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-88&text=T.M.+Cooks,The world is coming to an end. It’s up to six ambitious teenagers to save this toxic environment. Will they succeed? The city of Stoke-on-Trent is being held as the victim of these dangerous experiments. But who is behind all of this…,Yes
keele4,In the Shadows,2017,HH, £ 600.00 ,inv2018_76,2017,https://www.amazon.co.uk/Shadows-T-M-Cooks/dp/1548511072/ref=sr_1_84?qid=1579807037&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-84&text=T.M.+Cooks,"‘Cold. Rough. Hard. I am sat here on the floor of a small confined space with no light. I do not know where I am, this is not my bedroom. Why am I here?’ In a dark contemporary setting of Stoke-on-Trent, two teenage boys and five teenage girls embark on a series of quests in hope of finding a missing six year old girl who desperately wants to be back in the care of her foster parents. Will this group of determined teenagers ever find her and those responsible?",
kingsdale2017,Willow in The Healing,,SHINE,,,2017,https://www.amazon.co.uk/gp/product/1545079145/ref=dbs_a_def_rwt_hsch_vapi_tu00_p1_i0,"Southgate High school is full of drama. Friends turning on each other, parents with drinking problems, pressure and relationships. When Valentina meets Cassie's new Tutor she is head over heels in love. But is it destined to be? And when Valentin catches Cassie's boyfriend kissing Beatrice their friendship will be put to the ultimate test. And will be Beatrice's mum ever get the help she needs? Join Cassie, Beatrice and Valentina as they find out just how much drama you can find in a sixth form.",
lde-c,The D.O.T.,2017,SHINE,,,2017,https://www.amazon.co.uk/D-T-T-M-Cooks/dp/1979598355/ref=sr_1_72?qid=1579807589&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-72&text=T.M.+Cooks,"I would be saying in a time and place but time is messed up. Ruby, Betty and Bob have destroyed the D.O.T. and they need to get the crystals that make up the D.O.T. But unfortunately, there are others who want to claim the D.O.T as their own. The crystals are scattered across the world. Will they be able to make the D.O.T in time before time is completely destroyed? Will Ronald Quack get the power to take over world? Will Tyrone get his happy ever after, after everything he has done?",
lde-ct,GAZA 7th,2017,SHINE,,,2017,https://www.amazon.co.uk/Gaza-T-M-Cooks/dp/197959838X/ref=sr_1_71?qid=1579807589&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-71&text=T.M.+Cooks,"RICK: Genius; Mastermind. Every story has bad guy, He doesn't work for anyone, People work for him. A man who never fails, RICK PATEL. It's hard to achieve success in life but easy to consume. lives could be destroyed, No matter who you are, There is involvement, But there is no evidence, Life could be given, OR taken They're hackers, victims and they're rivals. He is coming but I'm waiting...",
lde-f,Vengeance,2017,SHINE,,,2017,,,
lde-fm,Firewall,2017,SHINE,,,2017,https://www.amazon.co.uk/Firewall-T-M-Cooks/dp/1979587841/ref=sr_1_73?qid=1579807589&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-73&text=T.M.+Cooks,"The President needs help. Who does he call? Hack ! What if the world was run by hackers? The President is looking for help and no help is coming. She had no choice but to call the OCTOPUZ(8 Hackers)desperately asking for their help to sabotage the other opponents. They replied YES!.. Later they realize that this mission isn't for them they may be taking risks for the president but they aren't ready for the lies, death, cheats, and loss…",
lde-m,The Difference Between Me and You,2017,SHINE,,,2017,https://www.amazon.co.uk/Difference-Between-Me-You/dp/1979587787/ref=sr_1_78?qid=1579807589&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-78&text=T.M.+Cooks,"In the year 2017, Sam Smith is a transgender girl that moves from a previous school to have a fresh start in a school in London. She leaves her old school, friends, teachers and makes the brave move to Enrich Academy. Whilst she is at the school, she battles with depression, bullies and losing the love of her life who is also her best friend.",
lde-s,ROYAL MURDER,2017,SHINE,,,2017,https://www.amazon.co.uk/Royal-Murder-T-M-Cooks/dp/1979617902/ref=sr_1_76?qid=1579807589&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-76&text=T.M.+Cooks,"In a world where the people pay the government tax, people try to avoid the payment which results in them having severe punishments. Join Sahir in a plan from when he tries to become successful but discovers that people of higher status keeping deep secrets on his journey and also meeting these people with stories which lead to bad consequences.",
lde-sw,Identity Thief,2017,SHINE,,,2017,https://www.amazon.co.uk/Identity-Thief-T-M-Cooks/dp/1979585490/ref=sr_1_74?qid=1579807589&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-74&text=T.M.+Cooks,"In Miami... Jayden and Donald have been Enemies since childhood, due to an argument that turned sour. When Jayden finds out that Donald had the latest pair of trainers, he felt he had no other choice but to steal them for himself. Unaware of the consequences he would end up with...",
lde-t,Sombra,2017,SHINE,,,2017,https://www.amazon.co.uk/Sombra-T-M-Cooks/dp/1979587981/ref=sr_1_77?qid=1579807589&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-77&text=T.M.+Cooks,"Sombra (meaning shadow in Spanish) is a story about a 15 year old expert hacker, Alex, and the adventures he goes on after losing all forms of identification while on the run from gangs and agents. He meets his friend in Cairo and some unfriendly pirates on a stolen cargo ship. After several encounters and challenges from the sandy deserts of Cairo to the busy streets of India, Alex arrives back home safely in China.",
lde-w,The Devil of the Mind,2017,SHINE,,,2017,https://www.amazon.co.uk/Devil-Mind-T-M-Cooks/dp/1979621950/ref=sr_1_75?qid=1579807589&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-75&text=T.M.+Cooks,"THE INVESTIGATOR Picking up his daughter from school, Chief Inspector Dean, a man of great wisdom and experience, stumbles upon a schoolyard brawl that will have massive consequences for the citizens of London. THE COLLEGE Blacksmiths College, an unassuming sixth-form in North London, will forever be tainted by a series of events that will leave millions shamed, embarrassed, and disgraced. THE ART TEACHER A seemingly innocent teacher with a dark past, who preys on the weak and vulnerable, will create upheaval and reveal secrets that are better not to be spoken of. THE HEAD OF I.T A dangerous teacher with a vast knowledge of computer hacking - little does he know his life is about to be turned upside down as he tries to defend his students from a cyber-attack.",
LDEUTC-1,Ashes,2017,SHINE,,,2017,https://www.amazon.co.uk/gp/product/1544121415/ref=dbs_a_def_rwt_hsch_vapi_tu00_p1_i5,"Ascending upward. Her last breath issued. Demise and nothing substandard. Unwelcome and unfortunate she shook. Goosebumps split her skin, exposing her pedigree. Diana knew she had to save the damned world. Armageddon. Watching her mother losing grip from her sentience. Involuntary and unnatural corruption consumes her.",
LDEUTC-2,Ashes,2017,SHINE,,,2017,,,
LDEUTC-2,What If?,2017,SHINE,,,2017,https://www.amazon.co.uk/gp/product/1544122012/ref=dbs_a_def_rwt_hsch_vapi_tu00_p1_i3,"Jump into the wild life of Natasha English, a young, preppy American teen. She has a nice life, a good house, and is quite happy, but it all goes wrong when she is struck in the chest by Mike. She gets a strange illness which killed her mother, and shoulders the pain alone, while her doctor, who realizes her dilemma, milks her for money. Does Natasha get better? Will it stay secret? Will she get into University? All will be revealed in the thrilling tale of “What if?”",
LDEUTC-3,The Perfect Life,2017,SHINE,,,2017,,,
LDEUTC-4,The Stranger,2017,SHINE,,,2017,,,
LDEUTC-5,Pseudo,2017,SHINE,,,2017,https://www.amazon.co.uk/gp/product/154412189X/ref=dbs_a_def_rwt_hsch_vapi_tu00_p1_i4,"Pseudo: Not genuine; sham. That’s exactly what the life of Nick Cruz is. A lie. His life has been manipulated by the man who abducted him. 16 years ago. Taken away from the warm embrace of his mother’s arms. Left vulnerable. One life changing event leads him to unravelling the truth. Will it all be what it seems? Will his life, ever be the same again?",
LDEUTC-6,Out of Luck,2017,SHINE,,,2017,,,
mediawall2017,The Scorched World,,Bath," £ 3,556.00 ",inv2017_60,2017,,,
oaks,The Future's Behind Us,2017,HH, £ 600.00 ,inv2018_80,2017,https://www.amazon.co.uk/Futures-Behind-Us-T-Cooks/dp/1548927082/ref=sr_1_83?qid=1579807037&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-83&text=T.M.+Cooks,"After being sent away for the summer by their parents, a friendship forms between a group of 5 teenagers who very quickly have to learn to put their full trust into each other. A story unfolds where we learn the quirks and weaknesses of each character. As the group are exploring, they stumble across a time machine which takes them to the future, filled with both a waste land and an beautiful land in the sky, flipping their lives upside down. A romance blossoms, and drama occurs. Will the group escape capture and will the robot and boy live happily ever after?",
ormiston,The Light In The Shadows,2017,KeelePreSupplyArrement,,,2017,https://www.amazon.co.uk/Light-Shadows-T-M-Cooks/dp/1548927155/ref=sr_1_82?qid=1579807037&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-82&text=T.M.+Cooks,"One bracelet; one big problem. Five friends; two weeks. It’s 2067 and Stoke is in danger. Archie returns home to find a strange bracelet in his dead grandma’s jewellery box. They fight over it, breaking it, opening a portal for all types of entities to escape and putting an end to Veronica’s immortality. Will they save the city before it is too late and it's overrun by chaos?",
qe2017,The Unseen,,SHINE,,,2017,https://www.amazon.co.uk/Unseen-T-M-Cooks/dp/1548619965/ref=sr_1_87?qid=1579807037&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-87&text=T.M.+Cooks,"An outcast, a rich girl, a nerd and a crazy teacher; all trapped in a boarding school. The portal has been opened… a lot of things can happen over a week at Aberdeen Boarding School. A battle between good and evil leads to catastrophic consequences. The fight of the souls will ruin friendships. Will these four teenagers be able to figure out the ungodly secrets of the place they once knew as Aberdeen Boarding School? DEATH, CEMETARIES and EVIL arise at the immoral faculty.",
SA2017year7,In the Shadows Where They Lie,,SHINE,,,2017,https://www.amazon.co.uk/Shadows-Where-They-Lie/dp/1979897255/ref=sr_1_70?qid=1579807589&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-70&text=T.M.+Cooks,"Mohammed and his younger brother Oliver have been through a lot together. Not only have they lost their parents, they are living in an unfamiliar country, displaced from their own. After being adopted by a man who lives right next to a creepy old house and meeting their new friend Mike, strange noises encourage the three kids to explore. …But will they make it out alive?",
SA2017year8,The Invasion Of Planet X,,SHINE,,,2017,https://www.amazon.co.uk/Invasion-Planet-T-M-Cooks/dp/1979898316/ref=sr_1_69?qid=1579807589&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-69&text=T.M.+Cooks,"Tony’s whole life is about to change as his home is destroyed. Planet X, his new home, has some unwanted inhabitants. A tragic war has broken out on the planet causing new friends to be made and old friends to be lost. Will they win the battle for the human life or will they be overthrown? Find out in this thrilling race for human life...",
SUTH2017,The Mystery of the Purple Planet,,Yvonne, £ 600.00 ,Inv2017_70,2017,https://www.amazon.co.uk/Mystery-Purple-Planet-T-M-Cooks/dp/1981387234/ref=sr_1_67?qid=1579807589&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-67&text=T.M.+Cooks,"In the Victorian era, a group of detectives reveal the secrets of the Purple Planet. The past has been unraveled and will come back to haunt them. The Queen has been captured by an evil slug that was once human. Jamie discovers the secret but no one will believe him. Who will be the hero? Will they save the queen? Will they do it in time? Read on to find out...",
TCW2017,Toxic Paradise: A London Story,,SHINE,,,2017,https://www.amazon.co.uk/Toxic-Paradise-T-M-Cooks/dp/1981268219/ref=sr_1_68?qid=1579807589&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-68&text=T.M.+Cooks,"Tyreece is a conflicted young musician in a world without rhythm. The unholy trinity of drugs, money and alcohol aren't the only thing to influence his life. But there is one shining light in his life, the beat of the drums like an echo in his heart. Forced to leave the lush countryside of Somerset for the dense forest of tower blocks in Hackney, where both love and hate thrive, Tyreece finds solace and hope in the most unexpected places. He learns that life is to be lived in full joy, and that anyone can change their future by making a difference in the here and now.",
UCLAN2017,A Sketch of Smoke,,SHINE,,,2017,https://www.amazon.co.uk/gp/product/1542549183/ref=dbs_a_def_rwt_hsch_vapi_tu00_p1_i6,"George Rollins just wants to play his games. And sharing a cabin with three other kids is not his idea of fun. To make matters worse, one of his cabin mates seems a bit batty. Will he ever make friends here? Bruce Thompson lives to the constant toll of his mother’s bell. He looks forward to finally getting a break from his mother’s strict rules. Hopefully his sister, Alisha, won’t tell on him. Twins, Lorrie and Terry, bring their hobbies to camp: sketches and photography. And a secret between them could change the whole weekend. Tensions spark with each activity. How will camp end?",
water2017,The Game Heroes,,KeelePreSupplyArrement,,,2017,,,
AMS2016,The Good Robot	  the Bad Robot	  and the Man That Created Them,,internal,,,2016,https://www.amazon.co.uk/gp/product/1539536718/ref=dbs_a_def_rwt_hsch_vapi_tu00_p1_i8,"Artificial intelligence is intelligence displayed by machines. What happens when you give them emotions to feel happiness and anger? Zonite is an artificial intelligence, made to bring joy to the world, but what happens when his creator, Professor John, makes a new AI, smarter and more human than him? How will Zonite cope, especially with evil lurking around? Will Zonite get over his feelings and welcome the new AI, or will he let anger take over instead?",
CC2016,The Universal Crime,,internal,,,2016,https://www.amazon.co.uk/gp/product/1534752463/ref=dbs_a_def_rwt_hsch_vapi_tu00_p1_i9,"Ben turned to the side, quick breaths, sweat gushing down his bruised forehead and neck like a violent stream of lava. His legs numbed, the ground opened wide, he was falling, leaving; his short lived time was almost up. The forgotten secrets and only if he had known a little earlier, it would have been a different story. This lucid event was bound to happen; it was a simple mission that went terribly wrong, or did it?",
GN2016,Hatred in the blood,,internal,,,2016,,,
HW2016,Rogue,,internal,,,2016,https://www.amazon.co.uk/gp/product/1539672166/ref=dbs_a_def_rwt_hsch_vapi_tu00_p1_i7,"Harriet Treadwell, the fourteen year old with a difference. Chris Williamson, the girl with the skin of stone and a heart of gold. The care home filled with unfortunate incidents. Living a poor life. The cruel life. The harsh life. Chloe, Cassie and Ryan, all too clever for their own good. Mark, always in the wrong place at the wrong time. And VICKE. Artificial Intelligence. A deadly gang. Runaways. Death.",
KU2016,The Charms of Terraglacia, 10-June 2016,KeelePreSupplyArrement,,,2016,,,
C2016,Cloud Attack,,SHINE,,,2016,https://www.amazon.co.uk/gp/product/1530017483/ref=dbs_a_def_rwt_hsch_vapi_tu00_p1_i10,Do you like like the sound of conflict? Well then here’s the book for you. Stormzy is a cloud who is 14 and takes on a very important role when a disaster strikes; A war between humans and clouds. Stormzy and his friends try to put it right.... But will it help? Could it destroy Cloudville? Want to find out? Then you’d better open the book now! This book portrays a very important message and I think you will enjoy the book so don't just stand there reading the blurb open the front cover and start reading!,
G2016,The Mystery of the Hidden Treasure,,Free, n/a ,,2016,,,
G2016b,Once Upon A Time House,,Free, n/a ,,2016,,,
QE2016,They Kept The Secret,,Internal,,,2016,,,
SA2016,Cuckoo Cop,,SHINE,,,2016,https://www.amazon.co.uk/gp/product/1523439386/ref=dbs_a_def_rwt_hsch_vapi_tu00_p1_i11,"This action, romance and adventure story will keep you on the edge of your seat. Here is a story about a corrupt cop who will pay the ultimate price of stealing drugs of one of the most powerful people in NYC. Wealthy cop or too wealthy? Is Gordon Bolton trying to drag Charlie into scandal or is he on his side forever? It starts in a city far far away called New York. Charlie pays the price of having blood on his hands and money in his pocket. His wife thinks about the welfare of the kids and leaves Charlie wondering what to do next. In a race against time to save the people he loves and to destroy Gordon Bolton once and for all... What would you do?",
SC2016,The Leather-Bound Sacrilege,,internal,,,2016,,,
SYP2016,A Forgotten Family,,KeelePreSupplyArrement,,,2016,,,
WD2016,A Change of Heart,,KeelePreSupplyArrement,,,2016,,,
Willows2016,The Words of Emvarsaer,,KeelePreSupplyArrement,,,2016,,,
