slug,title,date,Cost code, Invoiced Amount ,Invoice ,Year,link,blurb,
TheOaks2019,Code Zero,Friday 5th April 2019.,HH, £ 600.00 ,6,2019,https://www.amazon.co.uk/Code-Zero-T-M-Cooks/dp/109280627X/ref=sr_1_19?qid=1579809804&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-19&text=T.M.+Cooks,The code before one,
Trentham2019,Fear of the Unknown,Friday 17 May 2019.,HH, £ 600.00 ,6,2019,https://www.amazon.co.uk/Fear-T-M-Cooks/dp/1098846915/ref=sr_1_18?qid=1579809804&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-18&text=T.M.+Cooks,"You don't know what the story is about, you should be afraid.",
Willows2019,One Day or No Day,Friday 30th January ,Yvonne,,,2019,,,
Winsford2019,Virtual Immortality,Friday 7th June 2019.,HH, £ 600.00 ,6,2019,https://www.amazon.co.uk/Virtual-Immortality-T-M-Cooks/dp/1072450003/ref=sr_1_17?qid=1579809804&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-17&text=T.M.+Cooks,"Virtual Immortality takes us in the world of virtual reality, explores the seven deadly sins and confronts the possibility of digital immortality.",
Bangor2018,Ash in a Thunderstorm , 13-April-2018,internal,,,2018,https://www.amazon.co.uk/Ash-Thunderstorm-T-M-Cooks/dp/1717014062/ref=sr_1_56?qid=1579808015&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-56&text=T.M.+Cooks,"Humanity is gone The pale blue dot has been muddied to a brown rock. Our legacy, the androids, were sent to Mars. They are alone now. But synthetic life has its own agenda, its own aims, and its own future. For one android made in humanity’s image, they must find a way to become their true self.",
Birches2018,The Project, 27-April-2018,HH, £ 600.00 ,inv2018_80,2018,https://www.amazon.co.uk/Project-T-M-Cooks/dp/1718640129/ref=sr_1_54?qid=1579808015&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-54&text=T.M.+Cooks,"Not so far away, in the city of London, one menacing Doctor plotted to turn the people of Earth into lifeless objects with no emotion. In the way of Doctor Luxembourg and his success is a ragtag group of final year high school students, each with their own vendetta. Will the good to do high school pupils reign victorious or will Luxembourg succeed and make the world his?",
BSDC2018,Flashback, 4-May-2018,HH, £ 600.00 ,inv2018_80,2018,https://www.amazon.co.uk/Flashback-T-M-Cooks/dp/171871291X/ref=sr_1_51?qid=1579808015&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-51&text=T.M.+Cooks,"It was a normal morning which took a heartbreaking twist. A young woman vanishes. Using a flashback machine, her friends delve into her past to look for clues as to her fate. Join them on this heartbreaking story through time.",
Cheadle2018,The Unforgotten Key, 30-November-2018,HH, £ 600.00 ,4,2018,https://www.amazon.co.uk/Unforgotten-Key-T-M-Cooks/dp/1790556740/ref=sr_1_34?qid=1579808494&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-34&text=T.M.+Cooks,The Cooper family face a nightmare road to happiness. Will they be reunited? Or will the key to their happiness be forgotten?,
Coop2018,Controlled., 23rd November-2018,HH, £ 600.00 ,4,2018,https://www.amazon.co.uk/Controlled-T-M-Cooks/dp/172982840X/ref=sr_1_35?qid=1579808494&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-35&text=T.M.+Cooks,One Emotion. One Mind. One Man In Control.,
Disc2018B,Witnessed, 8-June-2018,HH, £ 600.00 ,4,2018,https://www.amazon.co.uk/Witnessed-T-M-Cooks/dp/1720926417/ref=sr_1_49?qid=1579808015&refinements=p_27%3AT.M.+Cooks%2Cp_76%3A419158031%2Cp_n_binding_browse-bin%3A492564011%2Cp_n_feature_browse-bin%3A400530011%7C400531011%2Cp_36%3A-1000&rnid=389022011&rps=1&s=books&sr=1-49&text=T.M.+Cooks,"Brooke was always the most popular girl in school, but after witnessing something her eyes didn't want to see, her life had been ruined forever. Brooke’s behaviour changed completely, and no one wanted to be her friend, all except one. Will they track down Brooke’s stalker or will her life be ruined forever?",
